title,link,desc,JobType,field,year
Mellon Post-Doctoral Fellowship in Latinx Literatures,https://joblist.mla.org/job-details/2878/mellon-post-doctoral-fellowship-in-latinx-literatures/?JbeBatchId=3D549&JobAlertId=3D9850&utm_source=3DJobAlert&utm_medium=3Demail&utm_campaign=3D2020-11-20,"Williamstown, MA | English | Full-time | Massachusetts | Literature, American, Literature, other minority, Literature, world | Hiring standards",Postdoc,Latinx,2020
"Early Career Fellowship in Creative Writing: Race, Ethnicity, & Expressive Culture (start Fall 2021)",https://joblist.mla.org/job-details/2877/early-career-fellowship-in-creative-writing-race-ethnicity-and-expressive-culture-start-fall-2021-/?JbeBatchId=3D549&JobAlertId=3D9850&utm_source=3DJobAlert&utm_medium=3Demail&utm_campaign=3D2020-11-20,"Austin, TX | English | Full-time | Texas | Creative writing | Hiring standards",Postdoc,Creative Writing,2020
Assistant Professor of Chinese,https://joblist.mla.org/job-details/2639/assistant-professor-of-chinese/?JbeBatchId=3D471&JobAlertId=3D9850&utm_source=3DJobAlert&utm_medium=3Demail&utm_campaign=3D2020-09-03,"Lexington, Virginia  | Chinese | Full-time | Virginia",TT,Chinese,2020
Associate Professor of 20th/21st Century American Literature,https://joblist.mla.org/job-details/2808/associate-professor-of-20th-21st-century-american-literature/?JbeBatchId=3D528&JobAlertId=3D9850&utm_source=3DJobAlert&utm_medium=3Demail&utm_campaign=3D2020-10-30,"The University of Alabama | English | Full-time | Alabama | Literature, American",TT,C20-C21 American,2020
Visiting Assistant Professor of French,https://joblist.mla.org/job-details/2806/visiting-assistant-professor-of-french/?JbeBatchId=3D528&JobAlertId=3D9850&utm_source=3DJobAlert&utm_medium=3Demail&utm_campaign=3D2020-10-30,"Huntsville, TX 77340 | Full-time | Texas | French",Non-TT,French,2020
Assistant Professor of French and Francophone Studies,https://joblist.mla.org/job-details/2681/assistant-professor-of-french-and-francophone-studies/?JbeBatchId=3D493&JobAlertId=3D9850&utm_source=3DJobAlert&utm_medium=3Demail&utm_campaign=3D2020-09-25,"Spartanburg, SC | Language teaching | Full-time | South Carolina | French",TT,French,2020
Assistant Professor of Italian Language and Society,https://joblist.mla.org/job-details/2680/assistant-professor-of-italian-language-and-society/?JbeBatchId=3D493&JobAlertId=3D9850&utm_source=3DJobAlert&utm_medium=3Demail&utm_campaign=3D2020-09-25,Hamilton College | Italian | Full-time | New York,TT,Italian,2020
"Assistant Professor of English in Composition & Rhetoric, Director of Writing Center",https://joblist.mla.org/job-details/2679/assistant-professor-of-english-in-composition-and-rhetoric-director-of-writing-center/?JbeBatchId=3D493&JobAlertId=3D9850&utm_source=3DJobAlert&utm_medium=3Demail&utm_campaign=3D2020-09-25,"Boston, MA | English | Full-time | Massachusetts",TT,Rhetoric/Composition,2020
"Open-rank faculty position, Department of English Language and Literature",https://joblist.mla.org/job-details/2700/open-rank-faculty-position-department-of-english-language-and-literature/?JbeBatchId=3D503&JobAlertId=3D9850&utm_source=3DJobAlert&utm_medium=3Demail&utm_campaign=3D2020-10-05,"Ankara, Turkey | English | Full-time | Literature, British | Other international",TT,Unknown,2020
Associate Teaching Professor in Inter-Asia and Transpacific Studies - China Focus,https://joblist.mla.org/job-details/2818/associate-teaching-professor-in-inter-asia-and-transpacific-studies-china-focus/?JbeBatchId=3D532&JobAlertId=3D9850&utm_source=3DJobAlert&utm_medium=3Demail&utm_campaign=3D2020-11-03,"La Jolla, CA | English, Chinese, Other languages | Comparative literature, Cultural studies, Film and media studies | Full-time | California",TT,Chinese,2020
Associate Professor - Comparative Caribbean Literatures and Cultures,https://joblist.mla.org/job-details/2817/associate-professor-comparative-caribbean-literatures-and-cultures/?JbeBatchId=3D532&JobAlertId=3D9850&utm_source=3DJobAlert&utm_medium=3Demail&utm_campaign=3D2020-11-03,"Toronto, Canada  | English | Comparative literature | Full-time | Canada",TT,Anglophone,2020
Associate/Full Professor and Department Chair,https://joblist.mla.org/job-details/2816/associate-full-professor-and-department-chair/?JbeBatchId=3D532&JobAlertId=3D9850&utm_source=3DJobAlert&utm_medium=3Demail&utm_campaign=3D2020-11-03,"Cedarville, Ohio | English | Composition and rhetoric, Language teaching, Linguistics, Literature in English other than British and American | Full-time | Ohio",TT,Rhetoric/Composition,2020
